##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	F6703_372760_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	24065275
Total Bases	3.6 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	52
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	39.45315688268678	40.0	40.0	40.0	40.0	40.0
2	39.62265039564269	40.0	40.0	40.0	40.0	40.0
3	39.62884363465616	40.0	40.0	40.0	40.0	40.0
4	39.68650563934965	40.0	40.0	40.0	40.0	40.0
5	39.68932455581746	40.0	40.0	40.0	40.0	40.0
6	39.659223673945135	40.0	40.0	40.0	40.0	40.0
7	39.66282288484133	40.0	40.0	40.0	40.0	40.0
8	39.64825309496775	40.0	40.0	40.0	40.0	40.0
9	39.65578078787797	40.0	40.0	40.0	40.0	40.0
10-14	39.64226297019253	40.0	40.0	40.0	40.0	40.0
15-19	39.648673701006956	40.0	40.0	40.0	40.0	40.0
20-24	39.64799534599127	40.0	40.0	40.0	40.0	40.0
25-29	39.61623176963489	40.0	40.0	40.0	40.0	40.0
30-34	39.62079198346995	40.0	40.0	40.0	40.0	40.0
35-39	39.62126901936504	40.0	40.0	40.0	40.0	40.0
40-44	39.62178606311376	40.0	40.0	40.0	40.0	40.0
45-49	39.61810440977716	40.0	40.0	40.0	40.0	40.0
50-54	39.59920920080905	40.0	40.0	40.0	40.0	40.0
55-59	39.59546752738125	40.0	40.0	40.0	40.0	40.0
60-64	39.59015705409558	40.0	40.0	40.0	40.0	40.0
65-69	39.56734303680303	40.0	40.0	40.0	40.0	40.0
70-74	39.56522868739294	40.0	40.0	40.0	40.0	40.0
75-79	39.50567585868019	40.0	40.0	40.0	40.0	40.0
80-84	39.49974711695587	40.0	40.0	40.0	40.0	40.0
85-89	39.48541566219376	40.0	40.0	40.0	40.0	40.0
90-94	39.48733111921638	40.0	40.0	40.0	40.0	40.0
95-99	39.453903834466885	40.0	40.0	40.0	40.0	40.0
100-104	39.43868919844049	40.0	40.0	40.0	40.0	40.0
105-109	39.41775360555822	40.0	40.0	40.0	40.0	40.0
110-114	39.40802617879912	40.0	40.0	40.0	40.0	40.0
115-119	39.362432999415134	40.0	40.0	40.0	40.0	40.0
120-124	39.37344767512526	40.0	40.0	40.0	40.0	40.0
125-129	39.34347512754373	40.0	40.0	40.0	40.0	40.0
130-134	39.30050965135449	40.0	40.0	40.0	40.0	40.0
135-139	39.293799900479016	40.0	40.0	40.0	40.0	40.0
140-144	39.26889804500468	40.0	40.0	40.0	40.0	40.0
145-149	39.24847181675672	40.0	40.0	40.0	40.0	40.0
150	39.25846856102829	40.0	40.0	40.0	40.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1103	25-29	-0.03771180277303188
1103	30-34	-0.011402976656079034
1103	35-39	-0.008227410191061324
1103	40-44	-0.012386473366930772
1103	45-49	0.00270826414804759
1103	50-54	0.011922825175680885
1103	55-59	0.0037984095568930343
1103	60-64	0.010575364740901705
1103	65-69	-0.005970781807100423
1103	70-74	0.0192498123386855
1103	75-79	0.045627240329537244
1103	80-84	0.011371906785797137
1103	85-89	-0.005954467852888001
1103	90-94	-0.058030637671514285
1103	95-99	0.020015168374982295
1103	100-104	-0.039738713486649146
1103	105-109	-0.025449029627267805
1103	110-114	-0.04669254916512244
1103	115-119	-0.02080569054123771
1103	120-124	-0.023634972117946518
1103	125-129	-0.029722639403438222
1103	130-134	-0.03855024698418674
1103	135-139	-0.036648623749997
1103	140-144	-0.018776412541804177
1103	145-149	-0.01841184278480057
1103	150	-0.026643755492528953
1104	1	-0.12857844091242754
1104	2	-0.03027279080258438
1104	3	-0.013667282022680638
1104	4	-0.026115142318140272
1104	5	0.013152049879394667
1104	6	-0.04446424051750597
1104	7	-0.08221253930260985
1104	8	-0.039718100863645134
1104	9	-0.06822659871488668
1104	10-14	-0.027093607063640945
1104	15-19	-0.049579588791104356
1104	20-24	-0.03747162363732315
1104	25-29	-0.03152699829567496
1104	30-34	-0.0493239987298324
1104	35-39	-0.06686871917699477
1104	40-44	-0.055070892192581766
1104	45-49	-0.034639640689547946
1104	50-54	-0.07823531889034285
1104	55-59	-0.030617007226247495
1104	60-64	-0.04325586504831591
1104	65-69	0.009497468076588689
1104	70-74	-0.001679083841246154
1104	75-79	-0.025944033444652348
1104	80-84	-0.07438198635713178
1104	85-89	-0.05207167460270057
1104	90-94	-0.05183483468675121
1104	95-99	-0.04851918049373438
1104	100-104	-0.053943584510591336
1104	105-109	-0.08226191755679935
1104	110-114	-0.0684595257328624
1104	115-119	-0.061388459139053
1104	120-124	-0.10751811023450131
1104	125-129	-0.09786565001786585
1104	130-134	-0.12578798862187313
1104	135-139	-0.1313039233172546
1104	140-144	-0.14023576022086814
1104	145-149	-0.1348108976721818
1104	150	-0.1350116424903547
1105	1	-0.14116935040379275
1105	2	-0.057866187124957946
1105	3	0.024147670519298003
1105	4	-0.08892283459503147
1105	5	-0.03440692325561656
1105	6	0.008410287845578068
1105	7	-0.041687557663507846
1105	8	-0.05933761972391238
1105	9	-0.07071865166797409
1105	10-14	-0.04711347928618892
1105	15-19	-0.05316734028741621
1105	20-24	-0.05464522206175815
1105	25-29	-0.09430225685001403
1105	30-34	-0.079008479542793
1105	35-39	-0.1012170949680069
1105	40-44	-0.09044167989730312
1105	45-49	-0.08450809734060272
1105	50-54	-0.0627217350264786
1105	55-59	-0.05301262720003308
1105	60-64	-0.06859463710642899
1105	65-69	-0.0623513646345728
1105	70-74	-0.07688802970522346
1105	75-79	-0.06872634322610338
1105	80-84	-0.1306817259807076
1105	85-89	-0.1298607096401838
1105	90-94	-0.14267201653457562
1105	95-99	-0.12146703072643561
1105	100-104	-0.1292174490780269
1105	105-109	-0.10572605633237941
1105	110-114	-0.10460076491953885
1105	115-119	-0.0690685877975099
1105	120-124	-0.15610814513023286
1105	125-129	-0.11116621858512588
1105	130-134	-0.13982598547749348
1105	135-139	-0.12745575376103346
1105	140-144	-0.14845106452327883
1105	145-149	-0.16518144590428818
1105	150	-0.11117272827040381
1106	1	-0.05256842958392127
1106	2	-0.05866896955031109
1106	3	-0.005453374088155272
1106	4	-0.09567253211408655
1106	5	-0.009152340120280655
1106	6	-0.04336901886410516
1106	7	0.01337347759997698
1106	8	-0.025781761576496365
1106	9	-0.04354352418673102
1106	10-14	-0.023008028240177225
1106	15-19	-0.01168089902062519
1106	20-24	0.01264922067449703
1106	25-29	-0.018090124868493263
1106	30-34	0.020143615462181685
1106	35-39	0.003928810657946258
1106	40-44	-0.03880587094547394
1106	45-49	-0.003957937415037804
1106	50-54	-0.02037699060790743
1106	55-59	0.024765074264266218
1106	60-64	-0.03512720322297014
1106	65-69	0.0035796577310449607
1106	70-74	-0.0018583805831084987
1106	75-79	-0.007931403342951171
1106	80-84	-0.036261351343583215
1106	85-89	-0.06277231332825295
1106	90-94	-0.058909065758101065
1106	95-99	-0.028942538754662905
1106	100-104	-0.04519893684501852
1106	105-109	-0.05036965591550313
1106	110-114	-0.06614579365024298
1106	115-119	-0.022775610546474923
1106	120-124	-0.04586308565230013
1106	125-129	-0.07989584654354331
