#Position (bp)	insert size
1.9506581495E9	10252.417280207883
1.9589061755E9	218.03703703703704
1.9671542015E9	823.7157494727627
1.9754022275E9	7410.768357044516
1.9836502535E9	9050.579211397611
1.9918982795E9	3302.208607714017
2.0001463055E9	7365.372504172591
2.0083943315E9	3806.8426633007257
2.0166423575E9	4301.829333931375
2.0248903835E9	6008.9956803455725
2.0331384095E9	4667.213079255089
2.0413864355E9	6821.0943077665215
2.0496344615E9	2633.222742487495
2.0578824875E9	4254.420270860638
2.0661305135E9	1750.094103930713
2.0743785395E9	1964.9316334072432
2.082312835E9	4005.433530366249
2.086227972E9	379.0
2.0865417025E9	9366.105641394179
2.0908745915E9	3600.273629864972
2.0991226175E9	5095.620076108197
2.1073706435E9	6682.259702322994
2.1156186695E9	6409.338812608779
2.1238666955E9	3649.434948811459
2.1321147215E9	3696.8817427385893
2.1403627475E9	4661.072840976772
2.1486107735E9	8086.879235982748
2.1568587995E9	3970.989070119388
2.1651068255E9	7244.761764900007
2.1733548515E9	6520.413624338625
2.1816028775E9	5159.760692800952
2.1898509035E9	6924.763759525826
2.1980989295E9	8660.783225437928
2.2063469555E9	11711.122182680901
2.2145949815E9	5628.393201067409
2.2228430075E9	6010.954651585119
2.2310910335E9	3138.5724686578824
2.2393390595E9	3739.589806702195
2.2475870855E9	6141.131608207824
2.2558351115E9	3748.3352116020383
2.263915105E9	3183.6880290205563
2.26791743E9	413.0
2.2680854625E9	431.6666666666667
2.2723311635E9	5892.491576331813
2.2805791895E9	5631.420624947642
2.2888272155E9	4691.67648973312
2.2970752415E9	1476.251182604778
2.3053232675E9	3465.8310952467987
2.3135712935E9	2818.0173928812833
2.3218193195E9	5322.3311852704255
2.3300673455E9	1324.9127121579495
2.3383153715E9	722.5437159252917
2.3465633975E9	3309.109926623287
2.3548114235E9	3784.4882120862203
2.3630594495E9	3939.62638469285
2.3713074755E9	2593.293853248497
2.3795555015E9	5516.492682369083
2.3878035275E9	3748.643154543228
2.3960515535E9	4483.674289798106
2.4042995795E9	2477.1513726243043
2.4125476055E9	8706.035340512664
2.4207956315E9	8777.319482801908
2.4290436575E9	3413.922824258285
2.435968712E9	7848.32355737585
2.440092725E9	5714.483059513259
2.4455397095E9	985.0323355290099
2.4537877355E9	5683.8247100802855
2.4620357615E9	3298.680336773493
2.4702837875E9	9542.350252586
2.4785318135E9	12469.989722990245
2.4867798395E9	3217.173209057776
2.4950278655E9	3849.8423552374757
2.5032758915E9	3687.304083185392
2.5115239175E9	4136.50778752866
2.5197719435E9	2546.8360766195015
2.5280199695E9	3886.977345918934
2.5362679955E9	3076.5051290463693
2.5445160215E9	4302.652662327478
2.5527640475E9	7992.6585530113525
2.5610120735E9	4811.272824345969
2.5692600995E9	11925.19429100765
2.5775081255E9	9013.649291239053
2.5857561515E9	1795.9672572957102
2.5939979455E9	5273.168496386882
2.5981219585E9	0.0
2.6022522035E9	3353.885547719735
2.6105002295E9	20038.84499349805
2.6187482555E9	2966.087281305288
2.6269962815E9	4888.527861597264
2.6352443075E9	3283.1361280144242
2.6434923335E9	2724.5160160160162
2.6517403595E9	3847.4082431984575
2.6599883855E9	6312.574537889093
2.6682364115E9	3416.5852704757767
2.6764844375E9	9052.833213515456
2.6847324635E9	4561.032945736434
2.6929804895E9	8071.059653564702
2.7012285155E9	2980.3416885131883
2.7094765415E9	10301.270843734399
2.7177245675E9	12303.49118705036
2.7259725935E9	11304.121781653213
2.7342206195E9	8603.730427835966
2.7407994975E9	1775.977978485894
2.7449235105E9	6112.134399308557
2.7507166715E9	6870.6812641083525
2.7589646975E9	2754.473761001553
2.7672127235E9	6889.738527483611
2.7754607495E9	3280.3408817290606
2.7837087755E9	4783.012428870919
2.7919568015E9	0.0
2.8002048275E9	22371.072463768116
2.8084528535E9	6115.359585817383
2.8167008795E9	5426.160453216375
2.8249489055E9	4591.068405574734
2.8331969315E9	4507.09994049551
2.8414449575E9	7021.276702219077
2.8496929835E9	5844.57504431751
2.8579410095E9	2800.8439428053453
2.8661890355E9	5979.507991739972
2.8744370615E9	1959.0356580785485
2.880105077E9	1663.034319080058
2.8816691105E9	0.0
2.8817081685E9	313.3125
2.881815618E9	416.14285714285717
2.8819235655E9	0.0
2.8821203125E9	2647.302433371958
2.88242567E9	0.0
2.8826085695E9	0.0
2.882755976E9	291.6923076923077
2.882939838E9	2195.5770925110132
2.8830861915E9	1940.7744565217392
2.8833246155E9	16510.41302841303
2.8835330345E9	0.0
2.8840139925E9	29954.56140350877
2.884682622E9	240.25
2.8849783395E9	0.0
2.8851293765E9	0.0
2.88523294E9	0.0
2.885380196E9	0.0
2.8855523165E9	26056.432773109245
2.8856843195E9	0.0
2.885822535E9	0.0
2.885958065E9	0.0
2.886082272E9	0.0
2.886192519E9	0.0
2.886295634E9	3129.8
2.88640561E9	5973.893939393939
2.8865546035E9	0.0
2.8867224755E9	343.0
2.8868061825E9	0.0
2.886892758E9	0.0
2.887031009E9	0.0
2.8871976565E9	0.0
2.887400046E9	0.0
2.887577206E9	0.0
2.8877881565E9	0.0
2.8879687995E9	231.0
2.8881279725E9	0.0
2.888311843E9	429.0
2.8884852595E9	593.7391304347826
2.8886875845E9	0.0
2.888985801E9	0.0
2.889229866E9	0.0
2.8895790755E9	5589.7
2.889951796E9	0.0
2.8901135465E9	1543.0510204081634
2.8902557705E9	0.0
2.8904186985E9	0.0
2.8906437185E9	315.0
2.8908288345E9	0.0
2.890981424E9	2074.326923076923
2.8911688005E9	879.1176470588235
2.8913080195E9	0.0
2.8914628095E9	0.0
2.8916585145E9	0.0
2.8925472575E9	6007.105575326216
2.893404342E9	0.0
2.8935413165E9	0.0
2.8937144E9	0.0
2.8938670755E9	561.9166666666666
2.894495074E9	40115.91891891892
2.896831261E9	4863.324583428441
2.8986932995E9	0.0
2.8988572775E9	0.0
2.8989957195E9	0.0
2.8994933275E9	9821.34328358209
2.89996607E9	676.8469387755102
2.900096484E9	0.0
2.9002881635E9	4873.12
2.9005228225E9	7137.977064220184
2.9007376895E9	613.7460317460317
2.9009214585E9	956.6984126984127
2.9011053345E9	226.1
2.901244009E9	4927.829268292683
2.9018593855E9	38994.65648050579
2.902550898E9	0.0
2.9027498425E9	0.0
2.9029180535E9	0.0
2.9030958505E9	253.33333333333334
2.903236903E9	0.0
2.903378271E9	235.0
2.9035976075E9	0.0
2.9042365785E9	1652.7005076142132
2.9048794465E9	375.5
2.9053418075E9	38758.166666666664
2.9057249595E9	0.0
2.905983073E9	391.0
2.906237048E9	5027.709770114942
2.9063221355E9	0.0
2.906419947E9	2304.622807017544
2.906652359E9	2094.317877629063
2.9068714015E9	0.0
2.9070190175E9	378.0
2.907136287E9	0.0
2.9072577055E9	0.0
2.9073733645E9	0.0
2.9076229215E9	0.0
2.9079320895E9	6270.0
2.9081124645E9	0.0
2.9083581135E9	14663.652162784745
2.908607172E9	679.2666666666667
2.908806396E9	1150.5651769087524
2.9090000085E9	414.5
2.909237002E9	5046.627435697584
2.909487479E9	0.0
2.909666712E9	0.0
2.9098444145E9	0.0
2.910040618E9	0.0
2.910170176E9	0.0
2.910297114E9	0.0
2.910473855E9	2686.4126984126983
2.910761647E9	336.67289719626166
2.9109858275E9	0.0
2.9110662745E9	0.0
2.911245746E9	1650.873015873016
2.9114494045E9	813.5111111111111
2.911543586E9	0.0
2.9116129135E9	0.0
2.9117490855E9	0.0
2.9118852715E9	703.7755102040817
2.91203718E9	0.0
2.91216737E9	0.0
2.9122334675E9	0.0
2.9123573765E9	0.0
2.9125433715E9	0.0
2.9126854405E9	0.0
2.9128219235E9	0.0
2.913059947E9	369.0
2.913232047E9	362.5
2.9134117735E9	1205.0
2.914328412E9	3474.421822668782
2.915174319E9	0.0
2.915940367E9	72637.41276547588
2.916855563E9	238.0
2.9172265895E9	780.0
2.9175218075E9	1959.6153846153845
2.917833762E9	0.0
2.918104484E9	3778.485905773499
2.918421329E9	8896.75
2.9188311555E9	1931.7435897435898
2.919113692E9	1629.3922651933701
2.9192127795E9	0.0
2.919361199E9	2598.6333771353484
2.919639416E9	8948.037974683544
2.920969266E9	4025.434373663959
2.9222335585E9	4205.515463917526
2.9223746255E9	1038.9354838709678
2.922607307E9	1179.1117647058823
2.922990831E9	9646.076576576577
2.9232848535E9	1941.5351857023177
2.9248217345E9	5751.817310981868
2.926399337E9	2539.690231362468
2.926573575E9	0.0
2.926675323E9	0.0
2.9273955645E9	3335.301369863014
2.9283065605E9	7178.744791666667
2.928675888E9	0.0
2.928905799E9	0.0
2.929078094E9	284.3333333333333
2.929177585E9	351.12
2.929312155E9	2315.215877437326
2.929457484E9	0.0
2.929658268E9	4015.222222222222
2.929885578E9	0.0
2.9300671115E9	308.0
2.9302185265E9	0.0
2.9303547775E9	0.0
2.930518526E9	0.0
2.930682299E9	558.80081300813
2.9307971655E9	2222.0397926319356
2.930854517E9	3151.2769953051643
2.93107383E9	11697.0
2.9313517695E9	3886.6521739130435
2.9315308925E9	365.0
2.9317028365E9	6860.507537688442
2.9318023465E9	6764.0
2.9319408055E9	3646.2909090909093
2.9325515445E9	2225.5851019558886
2.9331095955E9	0.0
2.9332331755E9	316.09090909090907
2.933321893E9	0.0
2.93344294E9	2204.3372093023254
2.933566615E9	0.0
2.933681945E9	0.0
2.9338372665E9	0.0
2.934009815E9	0.0
2.93414774E9	1407.0
2.934243411E9	6767.550877192983
2.9343431015E9	391.70526315789476
2.9345144045E9	361.07547169811323
2.9347374925E9	293.85714285714283
2.934982691E9	3271.1808759612168
2.9352665915E9	387.078431372549
2.93544909E9	4543.917210440457
2.9355482175E9	1502.048492791612
2.935678085E9	4365.568965517241
2.935901925E9	5197.563829787234
2.9361164625E9	0.0
2.936242911E9	0.0
2.9363673145E9	0.0
2.936522572E9	0.0
2.936686298E9	0.0
2.936850338E9	0.0
2.937037971E9	0.0
2.9372448465E9	344.1764705882353
2.9374273685E9	0.0
2.9375904835E9	0.0
2.937768082E9	0.0
2.9379456715E9	0.0
2.9381121175E9	0.0
2.9383003025E9	642.4444444444445
2.9384879905E9	388.25
2.9386500475E9	3048.8571428571427
2.938920769E9	6973.574879227053
2.9396822515E9	14625.79426644182
2.940319939E9	3078.181818181818
2.94246535E9	4763.397409933182
2.9448629825E9	2332.6162659123056
2.945276117E9	406.5149253731343
2.945440031E9	0.0
2.945667854E9	0.0
2.945880553E9	0.0
2.946041221E9	0.0
2.946434708E9	1154.0686274509803
2.9468190745E9	147.0
2.9494979735E9	10072.167400881057
2.952147541E9	249.0
2.952294951E9	3352.2091503267975
2.9525364005E9	9148.607665505226
2.9527433355E9	0.0
2.9527903395E9	0.0
2.9535019345E9	3640.7634640241276
2.954297591E9	0.0
2.9544634765E9	0.0
2.9549070915E9	3057.0767643417253
2.955308858E9	11561.0
2.955482869E9	5174.082397003745
2.9557224705E9	0.0
2.9559104E9	0.0
2.9560879905E9	0.0
2.9562757145E9	1948.0
2.956432736E9	0.0
2.956579642E9	0.0
2.956763995E9	5316.666666666667
2.9570041095E9	0.0
2.957239189E9	0.0
2.9574278325E9	0.0
2.9576057785E9	0.0
2.957966948E9	325.5
2.959643091E9	1628.498629434301
2.9619454965E9	2297.9696850134806
2.9629642995E9	0.0
2.9631882465E9	448.8333333333333
2.9638297045E9	618.0
2.964449908E9	2676.134285714286
2.964631061E9	1930.5
2.964824549E9	0.0
2.9650100095E9	0.0
2.9652029495E9	0.0
2.965396084E9	0.0
2.965570043E9	0.0
2.9657404625E9	0.0
2.967555776E9	4889.383679375589
2.9698945975E9	3899.2395706763873
2.971045755E9	0.0
2.971690351E9	6695.0
2.974202933E9	6330.511756264488
2.977077113E9	8470.0
2.977610308E9	0.0
2.9777653145E9	273.3333333333333
2.9801505935E9	4833.79431633807
2.982955129E9	1876.0
2.983539274E9	0.0
2.984703745E9	2170.0867293625915
2.9871683795E9	5373.278837132796
2.9890448965E9	3088.6138823387146
2.9895768225E9	337.25694444444446
2.990013438E9	4336.648337174844
2.9909450775E9	1853.9159109645507
2.991486762E9	326.9247469543495
2.9914961835E9	0.0
2.991498403E9	0.0
2.9915004565E9	0.0
2.9915021635E9	0.0
2.9915136375E9	0.0
2.9915265835E9	0.0
2.991529392E9	0.0
2.9915307145E9	0.0
2.9915325745E9	0.0
2.9915342115E9	0.0
2.99154091E9	0.0
2.9915659545E9	0.0
2.991585389E9	0.0
2.9915873015E9	0.0
2.991589869E9	0.0
2.991591628E9	0.0
2.991593215E9	0.0
2.991595448E9	0.0
2.9915976785E9	0.0
2.99159977E9	0.0
2.991601514E9	0.0
2.991602727E9	0.0
2.9916041595E9	0.0
2.991605782E9	0.0
2.991802493E9	293.0
2.99199914E9	0.0
2.9920006435E9	0.0
2.9920034905E9	0.0
2.992051942E9	0.0
2.992154686E9	0.0
2.992212966E9	0.0
2.992216201E9	0.0
2.9922185675E9	0.0
2.9922208195E9	0.0
2.992222888E9	0.0
2.9922245135E9	0.0
2.992236508E9	0.0
2.9923169155E9	0.0
2.9923888155E9	0.0
2.992395716E9	0.0
2.99240296E9	0.0
2.992408817E9	0.0
2.99241312E9	0.0
2.992415696E9	0.0
2.992418137E9	0.0
2.9924207125E9	0.0
2.992422293E9	0.0
2.992468444E9	0.0
2.9925146995E9	0.0
2.9925161E9	0.0
2.9925175995E9	0.0
2.992519784E9	0.0
2.992522045E9	0.0
2.9925263445E9	0.0
2.992545384E9	0.0
2.9925831375E9	0.0
2.992607717E9	0.0
2.992612316E9	0.0
2.9926178245E9	0.0
2.9926241555E9	0.0
2.992628755E9	0.0
2.9926331735E9	0.0
2.9926368975E9	0.0
2.9926382435E9	0.0
2.9926394475E9	0.0
2.992641481E9	0.0
2.9926433545E9	0.0
2.9926445925E9	0.0
2.9926460205E9	0.0
2.9926472475E9	0.0
2.992648321E9	0.0
2.992649783E9	0.0
2.992652112E9	0.0
2.9926553045E9	0.0
2.9926612295E9	0.0
2.9926659135E9	0.0
2.99266696E9	0.0
2.9926681315E9	0.0
2.992669974E9	0.0
2.992671936E9	0.0
2.992673276E9	0.0
2.9926747875E9	0.0
2.9926763355E9	0.0
2.9926774285E9	0.0
2.9926788075E9	0.0
2.9926804435E9	0.0
2.9926820605E9	0.0
2.9926835895E9	0.0
2.9926850725E9	0.0
2.992686387E9	0.0
2.9926878375E9	0.0
2.9926892975E9	0.0
2.9926919E9	0.0
2.9926945755E9	0.0
2.9926964715E9	0.0
2.9926986245E9	0.0
2.992700175E9	0.0
2.9927020895E9	0.0
2.992704681E9	0.0
2.9927100795E9	0.0
2.9927178965E9	0.0
2.9928131655E9	1022.5625
2.9929942125E9	6502.648648648648
2.9931647125E9	5637.345748773685
2.99333546E9	995.1
2.9935040225E9	15241.157894736842
2.9935902425E9	0.0
2.993679866E9	0.0
2.9938673145E9	0.0
2.994003041E9	0.0
2.994087277E9	1323.0645161290322
2.994162061E9	643.2688172043011
2.9942162495E9	0.0
2.99434886E9	0.0
2.994494888E9	309.0
2.994620928E9	0.0
2.9947747325E9	300.0
2.9949245285E9	192.0
2.995013772E9	0.0
2.9950591165E9	0.0
2.995110684E9	0.0
2.995149141E9	408.0
2.9952072975E9	0.0
2.995282718E9	0.0
2.9953872025E9	0.0
2.995549431E9	9991.416666666666
2.9957311045E9	0.0
2.995899982E9	15624.380753138075
2.99913101E9	8570.432611464968
3.0064054775E9	1216.5624789998726
3.0146535035E9	10431.003284072249
3.0229015295E9	1381.5772008644221
3.0311495555E9	1405.4975978037062
3.0393975815E9	2282.120396922937
3.0476456075E9	1780.9719981861174
3.0558936335E9	8110.5161290322585
3.0641416595E9	2603.6203504373652
3.0723896855E9	4197.39100292713
3.0806377115E9	16341.49203187251
3.0888857375E9	37817.04330708661
3.0971337635E9	3916.9811031664963
3.1053817895E9	2360.0729338580677
3.1136298155E9	4150.770161290323
3.1218778415E9	2128.476279417258
3.1301258675E9	2729.3761878144214
3.1383738935E9	10441.420212765957
3.1466219195E9	1773.629693035996
3.1513836915E9	6554.526151714583
3.1555077045E9	3074.116583105921
3.1631179715E9	3850.7871148459385
3.1713659975E9	7240.995776135163
3.1796140235E9	159.0
3.1878620495E9	0.0
3.1961100755E9	0.0
3.2043581015E9	0.0
3.20886549E9	349.84534270650266
3.2092674855E9	0.0
3.209519677E9	87529.4
3.209892578E9	49206.0
3.2101846785E9	397.24292889241343
3.2105124185E9	342.73728813559325
3.2107704875E9	340.33093525179856
3.2109366555E9	408.94059405940595
3.2111129705E9	427.6
3.211276395E9	309.0
3.211417082E9	0.0
3.2117631015E9	1914.7955974842766
3.2120996225E9	376.78688524590166
3.2123906835E9	0.0
3.212785749E9	676.125
3.213056867E9	275.24
3.213403592E9	9857.605309734514
3.2137350435E9	0.0
3.2140934165E9	12032.538461538461
3.214431141E9	3434.4
3.214684071E9	747.242718446602
3.214970895E9	304.0
3.2152807965E9	49082.96153846154
3.2157122075E9	620.9148936170212
3.216124641E9	844.3673469387755
3.2165191445E9	5315.049113233288
3.2167284695E9	0.0
3.216816394E9	0.0
3.2169855065E9	0.0
3.217221355E9	0.0
3.2174198055E9	0.0
3.217547141E9	0.0
3.2177472715E9	0.0
3.218075865E9	0.0
3.2184014195E9	0.0
3.21861934E9	7553.4
3.218790037E9	1178.25
3.218927574E9	0.0
3.219178228E9	310.04347826086956
3.219695868E9	1116.5511233379184
3.2201537955E9	339.96978851963746
3.220316351E9	0.0
3.2205178835E9	0.0
3.2208124235E9	0.0
3.2210694465E9	284.6
3.221262018E9	3494.7567567567567
3.221402796E9	287.1
3.221707994E9	1055.03125
3.2222369555E9	4792.584158415842
3.2228721145E9	2285.017985611511
3.2233024115E9	0.0
