#Position (bp)	Coverage	Std
2.1980989295E9	7.539733992109142	7.468303064219503
2.2063469555E9	8.31199428808784	6.871061639795545
2.2145949815E9	4.647806275101461	9.177380558450563
2.2228430075E9	44.98676095346935	39.016223794925686
2.2310910335E9	8.228105609754383	16.57096612211219
2.2393390595E9	35.14149955395388	123.18829698338894
2.2475870855E9	11.478013284633196	12.773285477387441
2.2558351115E9	37.91212624693472	158.4692140352388
2.263915105E9	39.58011509409614	91.7024187020448
2.26791743E9	0.002999277152628683	0.05476565668946811
2.2680854625E9	0.0034761028203273946	0.06435634802102162
2.2723311635E9	20.9934625569803	35.16504285963965
2.2805791895E9	6.49157483257206	7.695649981476393
2.2888272155E9	8.341697516472426	10.365080932005705
2.2970752415E9	40.155041582070666	364.1060281906466
2.3053232675E9	33.19499477814449	90.7556843873249
2.3135712935E9	15.03836930193964	41.26055539454001
2.3218193195E9	5.135604446445732	8.314534412128987
2.3300673455E9	0.34975689940841603	3.202383844798336
2.3383153715E9	20.07730576988967	694.8167863547365
2.3465633975E9	2.638748471452442	7.736645339214405
2.3548114235E9	7.645162733483139	17.828669688225162
2.3630594495E9	0.3902093664593201	0.7853666632406741
2.3713074755E9	4.327072320092104	28.365172644229446
2.3795555015E9	13.762861683510698	20.62759858731059
2.3878035275E9	3.021825585903827	11.48308603403597
2.3960515535E9	2.484263628654905	5.63614593615349
2.4042995795E9	12.778498030922792	63.24210942098773
2.4125476055E9	11.270431131036688	13.639408322939131
2.4207956315E9	6.339626232991991	5.90093095507494
2.4290436575E9	12.896074769890395	35.52322377274339
2.435968712E9	16.209450484757188	27.25886342727278
2.440092725E9	25.680069449719817	13.923475681634203
2.4455397095E9	32.16038516367431	751.9462377151364
2.4537877355E9	2.7366178283143143	8.774770958240204
2.4620357615E9	7.550233595286921	25.239515217443735
2.4702837875E9	11.7853450025497	6.894689045388068
2.4785318135E9	22.68197590550757	10.653782541168757
2.4867798395E9	16.49964245990495	50.94802656491017
2.4950278655E9	5.970309016969636	25.612409677259578
2.5032758915E9	4.295437841733283	8.25265874503806
2.5115239175E9	32.23664910852609	77.39581622614465
2.5197719435E9	3.194344925682824	10.249315369129535
2.5280199695E9	3.5046137099955796	4.962954135223498
2.5362679955E9	26.67769779096235	69.50753340263088
2.5445160215E9	20.970396189342758	41.5547687842069
2.5527640475E9	8.432476328275396	11.16311104733723
2.5610120735E9	0.898824518739393	2.104548871103705
2.5692600995E9	33.703369630503104	21.416847016217393
2.5775081255E9	17.77427132261707	22.88543338697036
2.5857561515E9	8.545419231219688	48.52098703925682
2.5939979455E9	7.463093714794449	6.687876688498584
2.5981219585E9	0.0	0.0
2.6022522035E9	105.88200582781867	1144.0981531418752
2.6105002295E9	15.186666361139016	10.856881314995192
2.6187482555E9	13.059212349718587	30.989769154535217
2.6269962815E9	12.352879222252694	16.76603390765323
2.6352443075E9	4.128441156708284	6.354036071955992
2.6434923335E9	6.6430749612089	33.743785865537646
2.6517403595E9	12.932271067040768	91.85781990222773
2.6599883855E9	7.977805719817081	12.705354972264459
2.6682364115E9	10.457224189157502	67.00571624199885
2.6764844375E9	2.5097771272786966	2.1172171749673856
2.6847324635E9	5.101039933676252	9.412439110516615
2.6929804895E9	25.982984413482693	72.01085699068594
2.7012285155E9	10.988214998352333	41.73826427727837
2.7094765415E9	8.172663737965909	15.881254495591332
2.7177245675E9	13.00714352743311	10.128141194308535
2.7259725935E9	20.2225720432986	16.90807436664194
2.7342206195E9	9.252229321294575	8.10913697529879
2.7407994975E9	29.638156680713603	129.31579299031483
2.7449235105E9	6.990471186497542	5.5030497309509245
2.7507166715E9	2.8098103715967917	2.7010811300510245
2.7589646975E9	8.301896962982415	147.99956559607682
2.7672127235E9	2.6148821548331687	4.12866808968534
2.7754607495E9	22.618295698873887	39.38001679211718
2.7837087755E9	3.085318596231389	4.344488831071179
2.7919568015E9	0.0	0.0
2.8002048275E9	0.013763050698433784	0.1192898635035352
2.8084528535E9	1.7819639511320648	2.2612644542010436
